,民國101年10月,,,,,,,Oct-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,7730746504,209607698,67612,36.88,36.71,37.45,38.05,10月30日,34.85,10月12日,5.68
1102  亞泥,2131741045,58375802,24860,36.52,36.59,36.4,37.5,10月8日,35.6,10月26日,1.81
1103  嘉泥,443082917,30004782,7550,14.77,14.24,13.15,15.7,10月5日,12.9,10月29日,3.86
1104  環泥,82918193,5728811,2250,14.47,14.39,13.95,15.3,10月5日,13.5,10月29日,0.95
1108  幸福,36192424,5751477,1477,6.29,6.28,6.18,6.47,10月1日,6.1,10月29日,1.42
1109  信大,17998658,1716827,448,10.48,10.48,10.5,10.85,10月30日,10.3,10月29日,0.41
1110  東泥,67436249,5151646,1321,13.09,13.09,12.75,13.65,10月2日,12.3,10月29日,0.9
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,1124627185,33235906,14361,33.84,33.59,31.1,36.2,10月1日,30.45,10月29日,6.57
1203  味王,93367546,4388426,2199,21.28,21.01,19.3,22.65,10月1日,19,10月29日,1.83
1210  大成,468710207,17861411,9447,26.24,26.3,25,27.35,10月2日,24.6,10月29日,3.21
1213  大飲,69675518,3392934,1925,20.54,19.67,17.45,22.75,10月3日,17,10月29日,6.59
1215  卜蜂,105624594,7514501,3213,14.06,14.01,13.8,14.95,10月5日,13.1,10月29日,3.24
1216  統一,8444181064,164756978,58365,51.25,51.3,51.6,52.5,10月9日,50.1,10月12日,3.39
1217  愛之味,213356652,22034306,6649,9.68,9.68,9,10.3,10月1日,8.8,10月29日,4.43
1218  泰山,693956278,41355236,13538,16.78,16.55,15.6,17.45,10月8日,15.2,10月29日,11.7
1219  福壽,41874998,2825500,944,14.82,14.98,15.1,15.35,10月1日,13.8,10月22日,0.92
1220  台榮,23468828,2199967,755,10.67,10.68,10.4,11.15,10月2日,10,10月29日,1.24
1225  福懋油,35418411,2740077,1196,12.93,12.98,12.85,13.3,10月3日,12.35,10月26日,1.46
1227  佳格,2223192788,28213782,19649,78.8,78.39,74.9,83.2,10月1日,73.3,10月29日,4.91
1229  聯華,425106744,22395676,7928,18.98,18.88,18.3,20,10月1日,17.8,10月30日,2.64
1231  聯華食,174887930,4876351,3066,35.86,35.94,34.5,37.9,10月2日,33.1,10月26日,3.98
1232  大統益,92516954,1813506,1388,51.02,51.62,49.75,52.8,10月5日,49.7,10月29日,1.13
1233  天仁,30920431,685206,532,45.13,45.31,44.8,46.55,10月8日,43.9,10月29日,0.76
1234  黑松,1789465968,42555737,15644,42.05,40.05,34.15,48.9,10月1日,34.05,10月31日,7.94
1235  興泰,8761035,366937,252,23.88,24.04,23.3,24.5,10月9日,22.8,10月26日,0.65
1236  宏亞,11417579,538538,506,21.2,21.2,20.8,21.8,10月3日,20.7,10月24日,0.5
1702  南僑,603171145,20400935,11032,29.57,29.4,27.95,31.6,10月1日,27.1,10月26日,6.94
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,10813314319,135460921,48272,79.83,80.04,79.6,84.3,10月1日,77,10月24日,2.21
1303  南亞,4823773400,88705460,44192,54.38,55.04,51.5,58.5,10月1日,49.8,10月29日,1.13
1304  台聚,827209967,34637492,17089,23.88,24.02,22,25.8,10月2日,21.55,10月30日,3.03
1305  華夏,984346019,76497390,19726,12.87,12.91,12.9,13.85,10月1日,12.3,10月9日,18.01
1307  三芳,34201704,1467322,973,23.31,23.29,23.05,24,10月4日,22.4,10月29日,0.42
1308  亞聚,568763972,22447510,11751,25.34,25.5,23.35,28.45,10月2日,22.5,10月29日,4.78
1309  台達化,80673176,8364415,3466,9.64,9.7,8.65,10.45,10月2日,8.5,10月30日,2.55
1310  台苯,875360762,93580631,22794,9.35,9.11,7.4,10.9,10月8日,7.24,10月30日,16.13
1312  國喬,982648557,65357849,20653,15.03,14.99,15.05,16.2,10月1日,14.1,10月29日,7.21
1312A 國喬特,2897150,151000,56,19.19,19.39,19.9,19.9,10月31日,19.05,10月30日,0.76
1313  聯成,288908775,18590914,6358,15.54,15.68,15.05,16.45,10月3日,14.6,10月29日,1.65
1314  中石化,9149665282,399295705,125060,22.91,22.97,20.3,25.2,10月3日,20.1,10月29日,20.22
1315  達新,93834642,3274640,1278,28.65,28.84,27.5,31.4,10月1日,27,10月29日,1.49
1316  上曜,122642433,10977340,4293,11.17,11.25,9.1,14,10月1日,8.64,10月29日,16.43
1319  東陽,402203346,15175309,9140,26.5,26.78,23.65,29.8,10月3日,22.8,10月29日,2.63
1321  大洋,381232403,14207049,5915,26.83,26.61,23.5,30.5,10月2日,21.85,10月30日,6.25
1323  永裕,335448985,14892771,7153,22.52,22.17,20.9,23.8,10月22日,20.3,10月29日,17.99
1324  地球,6116928,544246,314,11.24,11.22,10.35,12,10月4日,10.25,10月26日,0.72
1325  恆大,102422933,5708562,2505,17.94,17.43,16.4,18.95,10月1日,16.2,10月29日,5.67
1326  台化,6163410595,83150637,43159,74.12,74.57,69.2,79,10月2日,69,10月31日,1.46
1337  F-再生,2321843602,24837160,12625,93.48,93.34,87.4,102,10月2日,82.5,10月29日,14.17
1339  昭輝,33636099,1220572,539,27.56,27.62,27.5,28.1,10月12日,27.35,10月22日,1.85
1715  亞化,87557008,6416394,2593,13.65,13.55,12.9,14.4,10月1日,12.8,10月31日,2.05
4306  炎洲,281194330,12540732,6701,22.42,22.54,20.75,23.75,10月3日,20.55,10月31日,3.47
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,4707107355,147891007,52219,31.83,31.86,30.25,33.35,10月2日,29.95,10月29日,2.93
1409  新纖,853631042,86690225,24688,9.85,9.73,8.97,10.6,10月2日,8.72,10月29日,4.92
1410  南染,1191111636,48965468,19421,24.33,23.76,21.55,26.3,10月2日,20.3,10月29日,54.41
1413  宏洲,6879933,1479416,648,4.65,4.67,4.59,4.87,10月23日,4.3,10月29日,0.87
1414  東和,123149780,13822841,4386,8.91,8.9,8.05,9.56,10月1日,7.96,10月29日,6.28
1416  廣豐,666902864,37738110,12300,17.67,17.54,16.1,18.95,10月2日,15.6,10月29日,9.81
1417  嘉裕,410720264,39936661,9916,10.28,10.15,9.22,10.8,10月5日,9.15,10月31日,10.51
1418  東華,18044008,2682040,810,6.73,6.7,5.85,7.49,10月1日,5.58,10月29日,2.03
1419  新紡,725696295,18400569,6484,39.44,38.73,35.1,43.5,10月1日,34.3,10月26日,6.13
1423  利華,18641869,2553112,588,7.3,7.29,6.88,7.82,10月5日,6.7,10月26日,1.46
1432  大魯閣,178377590,14788402,4892,12.06,11.99,10.45,14,10月1日,10.1,10月31日,27.45
1434  福懋,438308484,16271677,8408,26.94,27.3,25.75,28.1,10月9日,25.5,10月29日,0.97
1439  中和,110002975,6911915,2581,15.91,15.26,14,16.9,10月9日,13.2,10月29日,7.51
1440  南紡,488927568,35219626,10748,13.88,13.75,12.9,14.65,10月1日,12.7,10月29日,2.24
1441  大東,185265707,18125941,5758,10.22,10.08,8.82,11.25,10月2日,8.73,10月31日,20.14
1443  立益,42040040,7450932,2896,5.64,5.51,5.03,6.18,10月23日,4.88,10月30日,5.51
1444  力麗,819586077,73488602,18159,11.15,11.14,10.25,11.8,10月9日,9.61,10月29日,8.06
1445  大宇,21206045,2914439,993,7.28,7.15,6.78,7.82,10月1日,6.72,10月29日,2.1
1446  宏和,58699642,3437853,1479,17.07,17.1,17.1,18.2,10月23日,16.35,10月26日,2.48
1447  力鵬,342223826,36512602,12731,9.37,9.22,8.28,10.1,10月4日,8.05,10月29日,4.84
1451  年興,117179837,5604084,2881,20.91,20.85,20,21.5,10月2日,19.9,10月30日,1.29
1452  宏益,34396084,3770825,984,9.12,9.11,9,9.69,10月1日,8.62,10月29日,2.84
1453  大將,133467130,11957627,5340,11.16,10.47,9.25,12.3,10月15日,8.84,10月29日,15.46
1454  台富,37814082,5076681,1813,7.45,7.18,6.56,8.43,10月1日,6.51,10月29日,3.62
1455  集盛,560037676,54411696,14757,10.29,10.3,8.92,11.1,10月4日,8.92,10月31日,8.98
1457  宜進,98188472,13479143,3810,7.28,7.21,6.95,7.64,10月23日,6.88,10月22日,4.24
1459  聯發,30089729,3443227,1378,8.74,8.66,7.79,9.51,10月1日,7.63,10月29日,0.96
1460  宏遠,84238368,10739491,3426,7.84,7.81,7.53,8.16,10月18日,7.45,10月29日,2.28
1463  強盛,360189072,30894542,6178,11.66,11.58,10.1,13.3,10月1日,9.92,10月30日,16.4
1464  得力,116590043,11194025,2903,10.42,9.64,8.82,11.2,10月5日,8.41,10月29日,5.16
1465  偉全,22326587,1729168,748,12.91,12.8,12.35,13.75,10月1日,12,10月26日,2
1466  聚隆,55921159,3436033,1521,16.27,16.56,14.95,18.4,10月3日,14.05,10月30日,3.61
1467  南緯,40556315,4411244,1482,9.19,9.18,8.99,9.73,10月3日,8.43,10月29日,2.62
1468  昶和,5986918,551191,363,10.86,10.84,10.05,11.6,10月12日,9.81,10月29日,0.34
1469  理隆,2070989,226908,90,9.13,9.1,8.85,9.46,10月4日,8.6,10月29日,0.18
1470  大統染,1805585,154784,99,11.67,11.81,11.25,12.55,10月1日,10.9,10月30日,0.18
1472  三洋紡,118682079,7225356,3006,16.43,16.38,16.9,17.35,10月8日,14.6,10月2日,12.14
1473  台南,135243453,4727750,2255,28.61,28.27,28.4,30,10月16日,27.2,10月11日,3.22
1474  弘裕,10923767,1576502,486,6.93,6.96,6.85,7.28,10月1日,6.52,10月26日,1.14
1475  本盟,664336,92524,64,7.18,7.25,7,7.74,10月26日,6.89,10月29日,0.28
1476  儒鴻,3505610217,41233270,24671,85.02,85.07,86.4,89.6,10月15日,80.1,10月1日,16.76
1477  聚陽,1933646100,21796330,13693,88.71,88.1,88.2,91.6,10月19日,84.2,10月1日,13.21
4414  如興,84567636,9321438,3089,9.07,8.95,8.91,9.64,10月1日,8.22,10月29日,15.9
4426  利勤,99678556,3668493,2036,27.17,27.06,27.25,28.35,10月5日,25.8,10月15日,5.73
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,254567302,7237081,2724,35.18,34.94,34.7,37.45,10月8日,33.65,10月29日,1.39
1504  東元,1191722987,59430987,22484,20.05,20.03,19.85,20.75,10月8日,19.25,10月29日,3.22
1506  正道,146485432,5979549,1359,24.5,24.42,22.95,25.3,10月15日,22,10月29日,4.89
