,民國101年11月,,,,,,,Nov-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,7719564343,207679156,67998,37.17,37.11,38.05,38.65,11月7日,35.8,11月28日,5.62
1102  亞泥,2544373174,70124693,29135,36.28,36.3,37.35,37.5,11月30日,35.35,11月1日,2.17
1103  嘉泥,97095870,7307063,3146,13.29,13.27,13.35,13.7,11月12日,12.85,11月22日,0.94
1104  環泥,113211932,7885243,2574,14.36,14.3,14.95,15,11月30日,13.8,11月1日,1.31
1108  幸福,45794839,7303975,1795,6.27,6.26,6.33,6.38,11月30日,6.15,11月9日,1.8
1109  信大,11357172,1090764,323,10.41,10.44,10.55,10.65,11月26日,10.25,11月16日,0.26
1110  東泥,39214491,3145839,1120,12.47,12.53,13,13,11月30日,11.8,11月21日,0.55
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,874238660,26095664,11779,33.5,33.33,34.75,35.2,11月30日,31.05,11月1日,5.16
1203  味王,33961686,1750725,957,19.4,19.46,19.8,19.9,11月2日,18.9,11月20日,0.73
1210  大成,412123729,16355938,8694,25.2,25.21,25.9,26,11月30日,24.5,11月5日,2.94
1213  大飲,23670506,1305807,862,18.13,18.03,18.65,19.05,11月30日,17.15,11月1日,2.54
1215  卜蜂,130358827,9117344,3622,14.3,14.25,14.7,14.75,11月29日,13.5,11月6日,3.93
1216  統一,9593280230,187191096,69330,51.25,51.46,51.9,52.6,11月7日,49.3,11月22日,3.85
1217  愛之味,155821625,17325027,5510,8.99,8.98,9.05,9.21,11月12日,8.79,11月22日,3.48
1218  泰山,197102310,12605518,5486,15.64,15.57,15.7,16.1,11月2日,15,11月22日,3.57
1219  福壽,37058551,2430121,880,15.25,15.3,15.15,15.65,11月1日,14.85,11月21日,0.79
1220  台榮,21018000,2039075,771,10.31,10.32,10.5,10.55,11月5日,10.1,11月19日,1.15
1225  福懋油,40576960,3181810,1125,12.75,12.78,12.8,13.1,11月9日,12.35,11月13日,1.7
1227  佳格,1563088194,20177183,15433,77.47,77.27,79.8,79.8,11月30日,73.5,11月1日,3.51
1229  聯華,267671948,14302816,5160,18.71,18.75,18.95,19.1,11月30日,18,11月1日,1.68
1231  聯華食,105110319,3027849,2088,34.71,34.69,35.5,35.8,11月2日,33.6,11月22日,2.47
1232  大統益,48366988,955098,781,50.64,50.77,50.9,51.5,11月14日,49.6,11月1日,0.6
1233  天仁,33912415,782722,502,43.33,43.5,43.9,44.85,11月2日,42,11月22日,0.86
1234  黑松,906425615,25475425,10847,35.58,35.27,37.4,38,11月29日,33.05,11月1日,4.75
1235  興泰,24733092,1027994,265,24.06,23.91,24.15,24.65,11月2日,23.25,11月1日,1.83
1236  宏亞,22059821,1062282,630,20.77,20.75,20.45,21.8,11月5日,20.05,11月22日,0.98
1702  南僑,486806221,17574092,9035,27.7,27.57,28.1,28.45,11月29日,26.65,11月22日,5.97
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,17753798943,244904046,108789,72.49,73.71,76.5,79,11月1日,67.4,11月15日,4
1303  南亞,7873171819,159055219,73168,49.5,49.95,51.4,52.8,11月5日,46,11月15日,2.03
1304  台聚,811766585,36384099,16733,22.31,22.22,22.65,22.95,11月2日,21.5,11月21日,3.18
1305  華夏,1414438163,107692414,24456,13.13,12.79,14,14.25,11月30日,12.05,11月16日,25.35
1307  三芳,29159355,1264852,896,23.05,23.06,23.3,23.5,11月30日,22.6,11月22日,0.36
1308  亞聚,581896739,24470690,11657,23.78,23.57,24.9,25.1,11月30日,22.5,11月15日,5.21
1309  台達化,64840649,7155853,2884,9.06,9.07,9.45,9.49,11月30日,8.54,11月1日,2.18
1310  台苯,451422741,64175263,17430,7.03,6.99,7.04,7.84,11月2日,6.55,11月6日,11.06
1312  國喬,1008997936,68117465,20776,14.81,14.76,14.95,15.25,11月12日,14.1,11月22日,7.51
1312A 國喬特,1945800,100000,55,19.46,19.48,19.5,19.75,11月16日,18.8,11月16日,0.5
1313  聯成,274587023,17927324,6851,15.32,15.27,15.85,15.95,11月30日,14.85,11月15日,1.59
1314  中石化,9778104313,554618651,161056,17.63,17.62,17.05,20.65,11月2日,15.85,11月21日,23.91
1315  達新,53159015,1893233,790,28.08,28.14,29.05,29.45,11月30日,27.3,11月1日,0.86
1316  上曜,213970083,23139967,7801,9.25,8.96,8.93,10.85,11月16日,7.31,11月9日,34.63
1319  東陽,452077897,19361100,9092,23.35,23.23,24.65,24.85,11月30日,21.9,11月22日,3.36
1321  大洋,257048673,10508137,4280,24.46,24.3,24.3,25.75,11月9日,22.8,11月1日,4.62
1323  永裕,168538434,8333394,3627,20.22,20.3,20.3,21.5,11月2日,19,11月22日,10.07
1324  地球,5023906,479115,298,10.49,10.45,10.65,11.1,11月12日,10.1,11月9日,0.64
1325  恆大,24600355,1497057,726,16.43,16.46,16.8,16.85,11月27日,16.2,11月1日,1.49
1326  台化,11210730868,172908943,80771,64.84,65.27,68.8,70,11月30日,58.7,11月15日,3.04
1337  F-再生,1982707491,23404003,15131,84.72,84.9,85.6,88.5,11月2日,79.8,11月19日,13.35
1339  昭輝,42198059,1532000,552,27.54,27.55,27.5,28.45,11月12日,27.5,11月30日,2.32
1715  亞化,77846908,5786014,2766,13.45,13.4,14,14.05,11月30日,12.7,11月1日,1.79
4306  炎洲,567212422,30046403,11125,18.88,18.85,19.35,20.5,11月1日,18.05,11月21日,7.6
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,6956248816,214303366,63392,32.46,31.57,34.55,34.55,11月30日,29.5,11月1日,4.25
1409  新纖,691811795,75856644,22141,9.12,9.05,9.18,9.45,11月9日,8.6,11月21日,4.31
1410  南染,1236905494,48873404,19971,25.31,24.58,25.5,27.45,11月16日,21.1,11月1日,54.3
1413  宏洲,4648552,1045347,531,4.45,4.5,4.52,4.89,11月1日,4.21,11月28日,0.61
1414  東和,119082929,13863561,4755,8.59,8.47,9.05,9.2,11月29日,7.98,11月1日,6.3
1416  廣豐,448951424,25901156,9196,17.33,17.14,17.45,18.35,11月12日,15.7,11月1日,6.73
1417  嘉裕,228388198,25012855,7284,9.13,9.1,9.39,9.54,11月30日,8.79,11月22日,6.58
1418  東華,12506864,2229157,797,5.61,5.64,5.7,5.89,11月2日,5.21,11月22日,1.69
1419  新紡,936224024,25188887,4435,37.17,37,38,38.4,11月26日,34.35,11月1日,8.4
1423  利華,16768150,2495877,678,6.72,6.74,6.88,6.95,11月26日,6.49,11月5日,1.43
1432  大魯閣,44586747,4185243,1594,10.65,10.62,10.8,11.2,11月12日,10.2,11月1日,7.77
1434  福懋,542861585,20171111,11884,26.91,26.85,27.5,27.6,11月30日,25.3,11月1日,1.2
1439  中和,41438491,2866686,1417,14.46,14.26,14.55,15.2,11月16日,13.65,11月22日,3.12
1440  南紡,345697823,27028879,8911,12.79,12.93,13,13.25,11月12日,12.15,11月22日,1.72
1441  大東,76781531,8314449,2981,9.23,9.09,9.38,9.97,11月12日,8.5,11月1日,9.24
1443  立益,9858701,1958460,801,5.03,5.02,5.14,5.2,11月29日,4.68,11月8日,1.45
1444  力麗,430474868,41629036,11081,10.34,10.3,10.6,10.85,11月30日,9.95,11月1日,4.57
1445  大宇,11684978,1704273,512,6.86,6.84,7.12,7.25,11月30日,6.6,11月13日,1.23
1446  宏和,17872781,1046436,488,17.08,17.12,17.1,17.6,11月13日,16.3,11月22日,0.75
1447  力鵬,172182993,20564492,7647,8.37,8.27,8.65,8.86,11月29日,7.98,11月22日,2.73
1451  年興,66087044,3287374,1833,20.1,20.12,20.4,20.6,11月9日,19.8,11月1日,0.76
1452  宏益,25626499,2803764,789,9.14,9.14,9.4,9.42,11月29日,8.94,11月1日,2.11
1453  大將,51189335,5250113,2330,9.75,9.62,10.05,10.4,11月13日,9.01,11月6日,6.79
1454  台富,29958177,4277540,1292,7,6.79,7.23,7.44,11月29日,6.5,11月1日,3.05
1455  集盛,606400136,72839486,18471,8.33,8.26,8.8,8.9,11月1日,7.86,11月22日,12.03
1457  宜進,169009041,22092056,5365,7.65,7.17,8.09,8.4,11月30日,6.88,11月5日,6.95
1459  聯發,35765221,4585943,2248,7.8,7.79,7.67,8.1,11月29日,7.6,11月8日,1.28
1460  宏遠,61150100,8490720,2811,7.2,7.25,7.21,7.77,11月1日,6.66,11月22日,1.8
1463  強盛,185397662,18158455,3720,10.21,10.19,10.5,10.8,11月26日,9.71,11月22日,9.64
1464  得力,13628435,1557608,589,8.75,8.75,8.85,8.99,11月27日,8.26,11月22日,0.72
1465  偉全,11301719,911321,367,12.4,12.36,12.7,12.75,11月30日,12,11月23日,1.06
1466  聚隆,54103479,3353631,1671,16.13,15.77,16.6,17.5,11月21日,14,11月15日,3.52
1467  南緯,46970734,5095237,1608,9.22,9.24,9.48,9.52,11月30日,8.86,11月1日,3.03
1468  昶和,5345156,551078,341,9.7,9.67,9.95,10.5,11月7日,8.99,11月21日,0.34
1469  理隆,1187194,134003,102,8.86,8.9,9.09,9.18,11月26日,8.41,11月22日,0.11
1470  大統染,2349806,197083,105,11.92,11.91,12.6,12.6,11月30日,10.9,11月2日,0.23
1472  三洋紡,122748602,6723207,3228,18.26,17.73,17.05,20,11月9日,16.4,11月20日,11.3
1473  台南,66735578,2332368,1257,28.61,28.14,29.05,29.8,11月29日,27.5,11月22日,1.59
1474  弘裕,9621789,1411843,518,6.82,6.83,7,7,11月30日,6.62,11月15日,1.02
1475  本盟,309628,44202,43,7,7.09,7.14,7.54,11月19日,6.43,11月7日,0.14
1476  儒鴻,2675100338,28455451,18638,94.01,94.39,96,98.6,11月9日,87.1,11月1日,11.57
1477  聚陽,1145904014,12752267,8701,89.86,89.71,88.5,91.8,11月2日,87.2,11月1日,7.73
4414  如興,91890121,9604198,3259,9.57,9.36,9.12,10.3,11月5日,9.01,11月1日,16.38
4426  利勤,83701998,3183957,1822,26.29,26,26.4,27.9,11月13日,24.4,11月8日,4.97
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,190230867,5315011,2258,35.79,35.77,35.95,36.3,11月9日,34,11月1日,1.02
1504  東元,1404446895,68728745,26420,20.43,20.36,21.15,21.2,11月29日,19.4,11月1日,3.72
1506  正道,97191707,4894709,1449,19.86,20.16,19.1,22.9,11月2日,18.85,11月30日,4
