,民國101年12月,,,,,,,Dec-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,6957946306,180747278,60303,38.5,38.43,38.9,39.75,12月7日,36.7,12月22日,4.9
1102  亞泥,3261484827,87502926,31612,37.27,37.27,37.35,38,12月10日,36.35,12月21日,2.71
1103  嘉泥,107500655,7831416,3390,13.73,13.7,13.85,14.1,12月27日,13.4,12月4日,1.01
1104  環泥,275625470,17375749,5099,15.86,15.84,16,16.4,12月19日,14.95,12月3日,2.88
1108  幸福,85900276,13174622,2586,6.52,6.49,6.68,6.79,12月28日,6.33,12月11日,3.26
1109  信大,16614358,1571086,498,10.58,10.55,10.65,10.75,12月28日,10.35,12月24日,0.37
1110  東泥,40097886,2980696,1298,13.45,13.35,14.1,14.2,12月28日,12.5,12月7日,0.52
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,1056066539,29861545,12082,35.37,35.07,36.15,36.5,12月25日,34,12月11日,5.9
1203  味王,38363259,1936826,1182,19.81,19.83,20.1,20.2,12月28日,19.5,12月21日,0.81
1210  大成,675599634,25348023,11562,26.65,26.48,26.6,27.3,12月22日,25.9,12月3日,4.56
1213  大飲,59701715,2991327,1723,19.96,19.91,20.4,21.35,12月26日,19.25,12月19日,5.81
1215  卜蜂,225894096,14993974,5655,15.07,14.99,15.25,15.6,12月10日,14.8,12月14日,6.46
1216  統一,8558668094,160617267,62693,53.29,53.3,53.3,54.8,12月19日,51.1,12月3日,3.3
1217  愛之味,1023010444,100458843,23486,10.18,9.92,10.5,10.85,12月24日,9.07,12月3日,20.19
1218  泰山,414984988,25729281,8779,16.13,15.96,15.95,16.6,12月6日,15.6,12月4日,7.28
1219  福壽,116854595,7500786,1379,15.58,15.32,15.65,16,12月26日,15,12月24日,2.44
1220  台榮,24527160,2327430,773,10.54,10.54,10.8,10.85,12月26日,10.25,12月4日,1.31
1225  福懋油,76858431,5947116,1689,12.92,12.92,12.95,13.1,12月19日,12.65,12月21日,3.17
1227  佳格,2328719599,28726498,20335,81.07,80.79,79.5,83,12月18日,79.2,12月10日,5
1229  聯華,304705856,16047442,6673,18.99,19,18.95,19.45,12月6日,18.55,12月21日,1.89
1231  聯華食,163694021,4608505,3141,35.52,35.37,36.6,36.6,12月28日,34.7,12月21日,3.76
1232  大統益,40518027,791491,610,51.19,51.24,51.6,51.7,12月28日,50.5,12月21日,0.49
1233  天仁,191697709,4289759,457,44.69,44.61,45.8,46,12月28日,43.55,12月11日,4.74
1234  黑松,552772425,14699534,5934,37.6,37.5,38.55,39.1,12月28日,36.15,12月11日,2.74
1235  興泰,61503082,2437927,527,25.23,24.79,25,26,12月18日,23.8,12月5日,4.34
1236  宏亞,17830110,837512,755,21.29,21.24,21.5,21.85,12月17日,20.4,12月3日,0.77
1702  南僑,491180008,17008682,9128,28.88,28.78,28.9,29.85,12月7日,28.1,12月3日,5.78
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,8710576445,113473423,51505,76.76,77.01,78.6,78.8,12月28日,74,12月4日,1.85
1303  南亞,6667063846,123550172,52834,53.96,54.12,56,57,12月19日,50.5,12月5日,1.57
1304  台聚,1349108948,59150992,23566,22.81,22.64,23.25,23.7,12月28日,22.1,12月21日,5.18
1305  華夏,1613880330,109070899,26979,14.8,14.77,15.35,15.6,12月28日,13.9,12月4日,25.68
1307  三芳,38165671,1618283,1173,23.58,23.6,23.85,24.1,12月26日,23.1,12月11日,0.46
1308  亞聚,523492759,20799113,10038,25.17,25,25.7,26.1,12月28日,24.1,12月20日,4.43
1309  台達化,78481170,8140509,3363,9.64,9.63,9.55,9.9,12月19日,9.41,12月25日,2.48
1310  台苯,438956322,57594022,15765,7.62,7.55,7.66,8.1,12月6日,7.02,12月3日,9.92
1312  國喬,1602591514,104889958,28906,15.28,15.2,15.3,15.8,12月13日,14.4,12月22日,11.57
1312A 國喬特,6521350,334000,88,19.52,19.68,19.7,20.1,12月5日,19.35,12月21日,1.67
1313  聯成,476380019,29440423,9839,16.18,16.19,16.3,16.55,12月19日,15.75,12月5日,2.61
1314  中石化,12711784362,695742087,172401,18.27,18.07,18,19.1,12月6日,17.05,12月3日,29.99
1315  達新,71142624,2498246,663,28.48,29.01,29.1,29.5,12月5日,27.9,12月13日,1.14
1316  上曜,399127129,37398182,12634,10.67,10.33,10.1,12,12月11日,8.9,12月3日,55.97
1319  東陽,711338588,28164700,12536,25.26,25.35,26.05,26.5,12月25日,23.85,12月11日,4.88
1321  大洋,171120879,6830517,2733,25.05,24.95,25.35,25.75,12月26日,24.15,12月4日,3.01
1323  永裕,344589840,15899595,6561,21.67,21.05,21.45,23.05,12月19日,20.1,12月11日,19.21
1324  地球,11225382,1001920,525,11.2,11.19,11.5,11.65,12月28日,10.65,12月3日,1.33
1325  恆大,25312728,1501113,838,16.86,16.82,17.1,17.3,12月25日,16.35,12月21日,1.49
1326  台化,7760772427,110865770,51895,70,70.03,75,75,12月28日,66.8,12月4日,1.95
1337  F-再生,1319331180,15428640,10531,85.51,84.96,84,88.1,12月6日,83,12月21日,8.8
1339  昭輝,460603806,15413785,2109,29.88,28.63,29.15,32.4,12月22日,27.5,12月12日,23.38
1715  亞化,72122131,5166774,2141,13.96,14.01,13.95,14.25,12月10日,13.75,12月5日,1.6
4306  炎洲,584186246,30862631,14081,18.93,18.82,18.8,19.7,12月5日,18,12月14日,7.8
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,8079278487,239673157,71227,33.71,33.67,33.1,34.7,12月3日,32.6,12月21日,4.75
1409  新纖,1968496438,203212332,42129,9.69,9.62,9.71,10.2,12月17日,9.16,12月11日,11.54
1410  南染,614646581,23863633,10012,25.76,25.1,24.5,27.45,12月6日,24,12月21日,26.52
1413  宏洲,10102051,2179870,812,4.63,4.63,4.87,4.9,12月28日,4.3,12月4日,1.28
1414  東和,214496983,22998638,7039,9.33,9.22,9.38,9.69,12月6日,8.95,12月21日,10.45
1416  廣豐,341107972,19429041,6439,17.56,17.41,17.35,18.2,12月4日,17,12月11日,5.05
1417  嘉裕,386390020,40243637,10354,9.6,9.51,9.55,9.98,12月17日,9.28,12月11日,10.59
1418  東華,14057763,2578875,806,5.45,5.47,5.5,5.76,12月6日,5.25,12月22日,1.95
1419  新紡,408793076,10663523,5713,38.34,38.25,40.3,40.5,12月28日,37.4,12月11日,3.55
1423  利華,22951980,3303193,976,6.95,6.92,7.11,7.15,12月27日,6.72,12月21日,1.89
1432  大魯閣,72654863,6050217,2272,12.01,11.77,12.85,13.05,12月28日,10.8,12月5日,11.23
1434  福懋,651172770,23699647,12407,27.48,27.56,28,28.1,12月20日,27,12月5日,1.41
1439  中和,34200347,2314096,1158,14.78,14.7,14.8,15.15,12月17日,14.4,12月6日,2.52
1440  南紡,1147588195,81842030,20817,14.02,13.6,14.65,14.8,12月25日,13,12月11日,5.22
1441  大東,58934664,6227890,2156,9.46,9.41,9.55,9.89,12月26日,9.13,12月11日,6.92
1443  立益,17934246,3485182,1123,5.15,5.16,5.23,5.44,12月26日,4.96,12月4日,2.58
1444  力麗,837250956,74530822,18492,11.23,11.01,11.5,11.7,12月28日,10.5,12月11日,8.17
1445  大宇,12774070,1792913,741,7.12,7.14,7.37,7.47,12月27日,6.82,12月10日,1.29
1446  宏和,45562140,2638228,547,17.27,17.33,17.25,17.95,12月6日,16.8,12月4日,1.9
1447  力鵬,607740000,62101566,16141,9.79,9.44,10.25,10.5,12月28日,8.67,12月11日,8.24
1451  年興,82110002,4051764,2092,20.27,20.3,20.25,20.65,12月6日,20,12月24日,0.94
1452  宏益,70191820,7410694,1929,9.47,9.44,9.69,9.8,12月28日,9.19,12月12日,5.59
1453  大將,83244594,7687581,2834,10.83,10.88,11.2,11.65,12月27日,9.9,12月3日,9.94
1454  台富,26749326,3603716,1351,7.42,7.31,7.32,7.74,12月5日,7.14,12月17日,2.57
1455  集盛,861793078,90096831,19984,9.57,9.4,9.79,10.15,12月25日,8.78,12月3日,14.87
1457  宜進,231666171,28400589,8519,8.16,8.09,8.13,8.45,12月17日,7.83,12月22日,8.93
1459  聯發,47499053,5628896,2223,8.44,8.4,9,9.1,12月26日,7.71,12月3日,1.57
1460  宏遠,60833384,8433028,2662,7.21,7.2,7.28,7.4,12月6日,6.95,12月12日,1.79
1463  強盛,244290234,22386051,5201,10.91,10.41,12,12.1,12月28日,9.9,12月11日,11.88
1464  得力,9625187,1073732,485,8.96,8.92,9.19,9.53,12月26日,8.63,12月10日,0.5
1465  偉全,11058620,879764,390,12.57,12.53,12.6,12.9,12月7日,12.05,12月11日,1.02
1466  聚隆,254756495,13220081,4590,19.27,16.73,20.8,20.95,12月28日,15.7,12月11日,13.88
1467  南緯,40653910,4273259,1343,9.51,9.5,9.68,9.72,12月28日,9.37,12月11日,2.54
1468  昶和,6111857,602031,362,10.15,10.21,10.95,11.2,12月28日,9.6,12月6日,0.38
1469  理隆,1846919,204046,112,9.05,9.16,9.24,9.3,12月19日,8.55,12月10日,0.16
1470  大統染,2675046,207709,109,12.88,12.91,12.5,13.4,12月26日,12.2,12月25日,0.24
1472  三洋紡,53561639,3014794,1369,17.77,17.43,17.6,19.3,12月18日,16.65,12月12日,5.07
1473  台南,125348364,4222706,2450,29.68,29.56,30.25,31.3,12月6日,28.6,12月22日,2.88
1474  弘裕,7145332,1019703,430,7.01,7.01,7.12,7.12,12月28日,6.87,12月10日,0.74
1475  本盟,2368313,284195,158,8.33,7.69,8.95,9,12月28日,7,12月11日,0.87
1476  儒鴻,2475337985,24090215,14937,102.75,103,106.5,107,12月28日,95.9,12月3日,9.79
1477  聚陽,1011175788,11422769,8104,88.52,88.53,90.4,90.6,12月28日,86.1,12月11日,6.92
4414  如興,102639833,10765905,3102,9.53,9.28,9.29,10.2,12月17日,9,12月11日,18.36
4426  利勤,38213292,1480701,908,25.81,25.66,25.5,27.2,12月10日,24.9,12月21日,2.31
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,123182177,3452805,1741,35.68,35.73,36,36.1,12月3日,34.35,12月21日,0.66
1504  東元,2225134765,102722472,36546,21.66,21.71,22.25,22.35,12月28日,20.85,12月3日,5.56
1506  正道,154277267,8495799,3881,18.16,18.3,19.7,19.7,12月28日,17.65,12月7日,6.95
