,民國102年01月,,,,,,,Jan-13,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,6654123049,170962480,53525,38.92,39.07,39.9,40,1月31日,37.5,1月17日,4.63
1102  亞泥,7535402775,208309313,37114,36.17,36.95,37.55,37.85,1月11日,36,1月24日,6.45
1103  嘉泥,121178366,8667183,3156,13.98,13.91,13.9,14.35,1月14日,13.7,1月17日,1.12
1104  環泥,293478949,17377256,4971,16.89,16.86,17,17.8,1月11日,15.9,1月2日,2.88
1108  幸福,75910074,11057053,2694,6.87,6.81,6.75,7.08,1月15日,6.6,1月25日,2.73
1109  信大,17764401,1681438,543,10.57,10.56,10.45,10.75,1月11日,10.3,1月22日,0.4
1110  東泥,54486111,3972488,1567,13.72,13.71,13.7,14.45,1月3日,13.25,1月25日,0.69
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,4104146605,101763465,36918,40.33,40.57,41.05,42.6,1月17日,36.25,1月2日,20.11
1203  味王,53753966,2631822,1401,20.42,20.47,20.35,21,1月17日,20,1月17日,1.1
1210  大成,791137948,29253715,14152,27.04,26.97,27,27.65,1月10日,26.4,1月17日,5.16
1213  大飲,38783024,1871009,1144,20.73,20.72,20.85,21.3,1月15日,20,1月17日,3.63
1215  卜蜂,202513583,13175471,4942,15.37,15.29,15.1,15.7,1月11日,14.8,1月17日,5.68
1216  統一,10081433586,191025828,64335,52.78,52.96,51.8,54.7,1月11日,51,1月25日,3.93
1217  愛之味,976751280,93484390,18536,10.45,10.35,10.15,10.85,1月7日,10.05,1月17日,18.78
1218  泰山,408443987,25414425,8412,16.07,15.93,15.75,16.45,1月11日,15.5,1月17日,7.19
1219  福壽,48954639,3209861,922,15.25,15.26,15.25,15.6,1月3日,15,1月25日,1.05
1220  台榮,17338728,1639659,784,10.57,10.58,10.55,10.85,1月3日,10.2,1月18日,0.93
1225  福懋油,63370074,4892214,1551,12.95,12.92,12.85,13.1,1月11日,12.65,1月2日,2.61
1227  佳格,3075880170,37686977,24479,81.62,81.52,82.5,83.8,1月11日,78.9,1月17日,6.56
1229  聯華,372063479,19155967,7637,19.42,19.45,19.6,19.75,1月28日,18.95,1月2日,2.26
1231  聯華食,154943493,4228727,2789,36.64,36.52,36.25,37.5,1月3日,35.55,1月17日,3.45
1232  大統益,52366895,1009635,818,51.87,51.89,52.3,52.6,1月31日,51.1,1月11日,0.63
1233  天仁,29076371,640282,491,45.41,45.5,45.15,46.15,1月21日,45,1月25日,0.71
1234  黑松,2121040758,53075717,20344,39.96,39.2,38.4,42,1月8日,37.6,1月17日,9.91
1235  興泰,41544839,1653756,343,25.12,25.18,25.3,25.6,1月10日,24.5,1月4日,2.94
1236  宏亞,25955214,1204646,829,21.55,21.51,21.9,22.05,1月9日,20.8,1月22日,1.11
1702  南僑,395487869,13764460,7543,28.73,28.56,28.15,29.7,1月3日,27.5,1月17日,4.68
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,8480404090,106414665,45946,79.69,79.79,80.2,82.1,1月10日,76.8,1月25日,1.74
1303  南亞,8163198144,138883775,57495,58.78,58.84,60,60.4,1月4日,55.7,1月2日,1.77
1304  台聚,1989213623,82396681,32127,24.14,23.85,23.3,25.4,1月8日,23,1月28日,7.21
1305  華夏,2165604691,135239041,32020,16.01,15.91,15.65,17.7,1月11日,15,1月16日,31.84
1307  三芳,60428974,2533473,1510,23.85,23.81,23.7,24.3,1月7日,23.4,1月18日,0.72
1308  亞聚,1553826640,56456305,22928,27.52,26.98,26.75,28.95,1月8日,25.5,1月2日,12.02
1309  台達化,257925969,25347116,7397,10.18,9.99,9.81,10.6,1月8日,9.58,1月2日,7.74
1310  台苯,604477482,85851060,19698,7.04,7.42,6.37,8.2,1月7日,6.13,1月16日,14.79
1312  國喬,1862979263,118530336,28756,15.72,15.57,15.25,16.65,1月7日,15.2,1月31日,13.07
1312A 國喬特,2419850,121000,55,20,19.97,20,20.2,1月8日,19.65,1月4日,0.6
1313  聯成,566131563,33797937,9311,16.75,16.65,16.5,17.4,1月7日,16.1,1月17日,3
1314  中石化,15954161383,837130699,206648,19.06,18.68,18.15,20.05,1月15日,18,1月2日,36.08
1315  達新,86031256,2839241,1429,30.3,30.29,30.35,31,1月18日,29.7,1月2日,1.29
1316  上曜,416297084,37611686,11575,11.07,10.63,10.45,12.1,1月16日,10.15,1月3日,56.29
1319  東陽,402747725,15278791,8451,26.36,26.27,26.4,27.45,1月10日,25,1月17日,2.65
1321  大洋,782916263,28930546,11079,27.06,25.9,24.85,29,1月8日,24.55,1月17日,12.73
1323  永裕,221986557,9999449,4741,22.2,21.98,21.65,22.9,1月15日,21.3,1月21日,12.08
1324  地球,8319400,727060,382,11.44,11.36,11.15,12,1月7日,11,1月29日,0.97
1325  恆大,259943032,13924691,6188,18.67,17.7,17.5,20,1月16日,16.95,1月7日,13.83
1326  台化,9422492605,120764987,51428,78.02,78.34,80.2,80.2,1月31日,74.7,1月2日,2.12
1337  F-再生,1427930517,16778156,11151,85.11,84.55,87.5,88.3,1月30日,81,1月9日,9.57
1339  昭輝,33112617,1129499,821,29.32,29.08,28.75,31.4,1月7日,28.1,1月22日,1.71
1715  亞化,234343883,16143313,4851,14.52,14.4,14.25,15,1月15日,13.9,1月7日,4.99
4306  炎洲,604095057,30878792,12219,19.56,19.41,19.15,20.4,1月14日,18.8,1月2日,7.81
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,6391732755,189887009,56537,33.66,33.65,34.2,34.9,1月11日,32.85,1月8日,3.76
1409  新纖,1070776181,108437797,25748,9.87,9.71,9.53,10.25,1月8日,9.35,1月17日,6.16
1410  南染,875505233,34163937,13603,25.63,24.52,23.3,27.25,1月7日,22.6,1月28日,37.96
1413  宏洲,9059285,1886585,727,4.8,4.78,4.64,5.03,1月8日,4.45,1月25日,1.11
1414  東和,488356521,51275702,10124,9.52,9.45,9.29,10.25,1月11日,9,1月17日,23.31
1416  廣豐,383309838,21676009,6692,17.68,17.44,17.2,18.3,1月8日,16.85,1月25日,5.63
1417  嘉裕,246116858,25350107,7628,9.71,9.59,9.39,10.1,1月11日,9.34,1月25日,6.67
1418  東華,35273410,6169151,1645,5.72,5.6,5.65,6.18,1月16日,5.36,1月7日,4.68
1419  新紡,256172621,6513097,3904,39.33,39.16,38.7,41,1月4日,38.25,1月25日,2.17
1423  利華,28003578,3949141,867,7.09,7.1,7.07,7.2,1月16日,7,1月30日,2.26
1432  大魯閣,89110506,6877136,2159,12.96,12.9,13.05,13.55,1月9日,12.5,1月17日,12.77
1434  福懋,380593189,13574047,8603,28.04,28,28.5,28.8,1月11日,27.2,1月25日,0.81
1439  中和,39825180,2698928,1319,14.76,14.57,14.05,15.4,1月7日,14,1月29日,2.93
1440  南紡,912018637,63536852,16282,14.35,14.19,14.15,14.8,1月8日,13.7,1月28日,4.05
1441  大東,118453720,11817209,3460,10.02,9.76,9.44,10.7,1月11日,9.35,1月28日,13.13
1443  立益,12872200,2411112,672,5.34,5.31,5.21,5.55,1月11日,5.19,1月29日,1.78
1444  力麗,499992384,44116630,12650,11.33,11.17,11.15,11.85,1月7日,10.6,1月17日,4.84
1445  大宇,10837462,1507222,480,7.19,7.17,7.08,7.4,1月2日,7,1月29日,1.09
1446  宏和,175396930,8970924,2919,19.55,19.3,19.3,20.9,1月11日,17.25,1月2日,6.47
1447  力鵬,530162317,50740558,12196,10.45,10.35,10.55,10.95,1月7日,9.67,1月17日,6.73
1451  年興,97986995,4753049,2824,20.62,20.62,20.8,21.05,1月9日,20.2,1月17日,1.1
1452  宏益,57940149,5973059,1496,9.7,9.69,9.66,10,1月11日,9.5,1月18日,4.5
1453  大將,62090351,5733633,1806,10.83,10.7,10.45,11.55,1月3日,10,1月28日,7.41
1454  台富,19408563,2654333,832,7.31,7.28,7.16,7.58,1月11日,7.11,1月31日,1.89
1455  集盛,523479306,52658251,13492,9.94,9.79,9.89,10.5,1月7日,9.25,1月25日,8.69
1457  宜進,92774267,11722100,3406,7.91,7.78,7.6,8.23,1月3日,7.38,1月29日,3.69
1459  聯發,33338147,3787338,1263,8.8,8.79,8.62,9.15,1月11日,8.33,1月28日,1.06
1460  宏遠,55304901,7556886,2462,7.32,7.25,7.11,7.63,1月4日,6.98,1月25日,1.6
1463  強盛,318970340,26561704,6360,12.01,11.93,11.85,12.55,1月7日,11.2,1月28日,14.1
1464  得力,17924021,1967929,614,9.11,9.06,8.99,9.3,1月8日,8.4,1月21日,0.91
1465  偉全,15860520,1264835,530,12.54,12.52,12.5,13,1月8日,12.3,1月25日,1.46
1466  聚隆,484126441,23743831,8182,20.39,19.68,18.9,21.7,1月7日,18.2,1月28日,24.92
1467  南緯,87563923,8776418,2269,9.98,9.92,10.1,10.35,1月21日,9.68,1月2日,5.22
1468  昶和,6717761,578119,359,11.62,11.6,11.6,12.65,1月17日,10.6,1月29日,0.36
1469  理隆,1155750,127000,83,9.1,9.17,9.11,9.38,1月3日,8.93,1月25日,0.1
1470  大統染,1571945,124790,38,12.6,12.77,13.2,13.35,1月30日,12.15,1月16日,0.15
1472  三洋紡,20148875,1187852,715,16.96,17.03,16.75,18.1,1月2日,15.6,1月28日,2
1473  台南,252272455,8086482,4172,31.2,31.07,30.7,32.2,1月28日,29.5,1月8日,5.51
1474  弘裕,14128308,1984557,719,7.12,7.06,6.98,7.4,1月3日,6.86,1月28日,1.44
1475  本盟,1612227,177962,132,9.06,8.76,10.2,10.35,1月31日,7.94,1月9日,0.55
1476  儒鴻,2984737744,26252322,13645,113.69,114.75,125,125,1月31日,104,1月3日,10.67
1477  聚陽,1771266280,18543564,13190,95.52,95.83,96.6,100,1月11日,90.5,1月2日,11.23
4414  如興,138034988,13845548,4359,9.97,9.76,10.35,10.8,1月23日,9.13,1月8日,23.61
4426  利勤,81249049,3014248,1415,26.95,26.33,27.05,27.7,1月11日,25.05,1月7日,4.71
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,87292251,2443080,1394,35.73,35.78,35.7,36.1,1月3日,35.35,1月25日,0.47
1504  東元,2886451594,123907602,41977,23.3,23.28,24.55,24.9,1月31日,22.15,1月2日,6.7
1506  正道,209203301,9543117,2615,21.92,22.25,22.5,23.8,1月10日,19.9,1月2日,7.81
