,41306,,,,,,,41306,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101  台泥,5486512954,141461811,46188,38.78,38.75,38.05,40.8,41323,37.2,41327,3.83
1102  亞泥,2498905330,67918497,24906,36.79,36.9,37,37.55,41323,36.1,41327,2.1
1103  嘉泥,57054796,4097823,1669,13.92,13.92,13.95,14.2,41309,13.8,41332,0.53
1104  環泥,194343544,11189199,3817,17.37,17.2,17.9,18.2,41328,16.3,41310,1.85
1108  幸福,60946149,8710514,1917,7,6.91,7.17,7.25,41331,6.66,41310,2.15
1109  信大,16137913,1536819,383,10.5,10.49,10.45,10.65,41328,10.4,41323,0.37
1110  東泥,23266895,1731670,745,13.44,13.45,13.35,13.9,41309,13.1,41326,0.3
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201  味全,2015337836,46624755,18285,43.22,43.25,44,45.3,41311,41,41306,9.21
1203  味王,33918949,1634226,938,20.76,20.78,20.5,21.15,41323,20.3,41306,0.68
1210  大成,348429945,12887019,5716,27.04,26.97,26.8,27.5,41323,26.8,41332,2.28
1213  大飲,37891020,1726913,1064,21.94,21.96,22.3,22.5,41323,20.8,41306,3.35
1215  卜蜂,267441330,16876545,6141,15.85,15.58,15.5,16.35,41311,15.05,41306,7.27
1216  統一,8960206009,167314754,56247,53.55,53.22,55.5,56.4,41332,51.3,41323,3.44
1217  愛之味,703985685,66629678,13147,10.57,10.5,10.6,11.15,41328,10.15,41306,13.39
1218  泰山,155570528,9920654,3859,15.68,15.66,15.5,15.9,41328,15.5,41332,2.81
1219  福壽,103253130,6769399,702,15.25,15.18,15.15,15.3,41323,15.05,41331,2.2
1220  台榮,8526917,807563,441,10.56,10.58,10.6,10.7,41332,10.4,41310,0.46
1225  福懋油,93939590,7159644,1278,13.12,13.07,13.05,13.35,41323,12.8,41310,3.82
1227  佳格,2652694621,31182439,19365,85.07,84.87,86.1,87.5,41330,82.5,41306,5.42
1229  聯華,153681386,7900124,3392,19.45,19.42,19.35,19.7,41323,19.1,41330,0.93
1231  聯華食,88249916,2407125,1639,36.66,36.64,36.6,37.2,41323,36,41310,1.97
1232  大統益,47345867,894900,557,52.91,52.9,53.2,53.6,41331,52.2,41309,0.56
1233  天仁,34157344,743155,540,45.96,45.91,46.95,47.15,41332,44.65,41309,0.82
1234  黑松,464786561,12088390,4950,38.45,38.38,38,39.3,41326,37.75,41325,2.26
1235  興泰,29104900,1158411,160,25.12,25.04,25.3,25.7,41328,24.7,41325,2.06
1236  宏亞,13172914,604682,434,21.78,21.8,21.7,22.1,41324,21.55,41330,0.56
1702  南僑,267243204,9348705,5057,28.59,28.43,28.45,29.15,41325,28,41324,3.18
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301  台塑,7308136097,93199621,33671,78.41,78.55,75,81,41311,75,41332,1.52
1303  南亞,4673700585,79414920,31169,58.85,58.95,56.9,60,41326,56.9,41332,1.01
1304  台聚,539212504,22804155,10212,23.65,23.6,23.35,24,41325,23.25,41306,2
1305  華夏,840312866,52937591,14512,15.87,15.8,15.7,16.7,41327,15.4,41332,12.46
1307  三芳,44409035,1837348,1122,24.17,24.19,24.5,24.65,41332,23.7,41306,0.52
1308  亞聚,387334365,14883057,6885,26.03,26.01,25.3,27.05,41309,25.3,41332,3.17
1309  台達化,63089202,6390300,2169,9.87,9.87,9.78,10.1,41325,9.6,41311,1.95
1310  台苯,252181013,33749137,10714,7.47,7.41,7.76,7.98,41328,7.02,41306,6.71
1312  國喬,641395220,41396575,9661,15.49,15.41,15.45,15.95,41328,15.2,41310,4.57
1312A 國喬特,2225650,111000,53,20.05,20.06,20.1,20.35,41328,19.75,41306,0.56
1313  聯成,257672007,15404552,5006,16.73,16.72,16.55,16.95,41327,16.5,41332,1.37
1314  中石化,5082488289,273004565,70185,18.62,18.48,18.35,19.1,41326,18.2,41311,11.77
1315  達新,36060691,1188636,631,30.34,30.32,30,30.95,41310,29.8,41332,0.54
1316  上曜,135332924,12480978,3900,10.84,10.52,10.7,11.45,41328,10.1,41311,18.68
1319  東陽,362940543,13198307,5959,27.5,27.3,27.3,28.35,41327,26.1,41306,2.29
1321  大洋,268169316,10720923,3254,25.01,24.95,24.8,25.75,41330,24.4,41327,4.72
1323  永裕,173841062,7707093,3420,22.56,22.3,22.45,23.5,41327,21.6,41310,9.31
1324  地球,4035811,361332,184,11.17,11.16,11.15,11.4,41325,11.05,41331,0.48
1325  恆大,35518913,2022708,999,17.56,17.54,17.3,18.05,41323,17.15,41331,2.01
1326  台化,5813410949,74610428,26525,77.92,77.95,75.6,80.6,41323,75.6,41332,1.31
1337  F-再生,873197746,10178007,6691,85.79,85.42,83.8,89.3,41311,83,41331,5.81
1339  昭輝,24791952,845426,527,29.32,29.25,29.75,30.9,41331,28.2,41310,1.28
1715  亞化,68939654,4787542,1705,14.4,14.42,14.5,14.75,41332,14.05,41306,1.48
4306  炎洲,210509256,10829148,4296,19.44,19.42,19.4,19.9,41325,19.05,41306,2.74
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402  遠東新,2529233796,74283011,26263,34.05,33.92,32.9,34.9,41310,32.9,41332,1.47
