公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,99,99,與上月比較增減%,98,與去年同月比較增減%,99,98,與去年同期比較增減%,99.08,98.08,與去年同期比較增減%
1101,台泥,1861703,1825812,1.97 ,1672041,11.34 ,14539401,13896110,4.63 ,29.45,35.7,-17.51 
1102,亞泥,625133,785932,-20.46 ,818279,-23.60 ,5984136,6931798,-13.67 ,28.8,35.1,-17.95 
1103,嘉泥,197136,186045,5.96 ,158986,24.00 ,1328266,1542559,-13.89 ,15.1,15.15,-0.33 
1104,環球水泥,253093,260629,-2.89 ,192880,31.22 ,2049106,2358726,-13.13 ,16,15.25,4.92 
1108,幸福水泥,244985,222334,10.19 ,228360,7.28 ,1787405,1855816,-3.69 ,7.57,8.55,-11.46 
1109,信大水泥,91604,99329,-7.78 ,106248,-13.78 ,782611,975182,-19.75 ,9.61,10.1,-4.85 
1110,東泥,114473,124873,-8.33 ,140306,-18.41 ,934115,1092935,-14.53 ,11.85,11.1,6.76 
1201,味全公司,1241194,1227124,1.15 ,1292373,-3.96 ,8802397,8224506,7.03 ,32.7,39.15,-16.48 
1203,味王公司,188248,172572,9.08 ,199499,-5.64 ,1297213,2036796,-36.31 ,25.2,25.9,-2.70 
1210,大成長城,1835507,1674661,9.60 ,1593249,15.21 ,13791007,13325551,3.49 ,28.95,33,-12.27 
1213,大飲,89813,85344,5.24 ,88973,0.94 ,478013,457077,4.58 ,23.2,8.28,180.19 
1215,卜蜂企業,1253699,1218078,2.92 ,1124473,11.49 ,9162856,8342273,9.84 ,17.2,16.1,6.83 
1216,統一,4859664,4832865,0.55 ,4468417,8.76 ,32581905,30182745,7.95 ,37.05,34.1,8.65 
1217,愛之味,542025,405479,33.68 ,610766,-11.25 ,2669211,2789982,-4.33 ,12.2,12.25,-0.41 
1218,泰山企業,689915,657980,4.85 ,713331,-3.28 ,4716404,4827356,-2.30 ,15.75,11.1,41.89 
1219,福壽實業,800517,794728,0.73 ,775230,3.26 ,5804303,6056089,-4.16 ,12.3,11.1,10.81 
1220,台榮,276939,279411,-0.88 ,202072,37.05 ,1779233,1444878,23.14 ,12.35,7.15,72.73 
1225,福懋油,679113,658934,3.06 ,669357,1.46 ,5259709,5133012,2.47 ,13.85,11,25.91 
1227,佳格,904822,902803,0.22 ,805283,12.36 ,7381305,6307163,17.03 ,75.8,29.85,153.94 
1229,聯華實業,278829,247929,12.46 ,250707,11.22 ,1999183,2008854,-0.48 ,19.25,13.95,37.99 
1231,聯華食品,408931,452475,-9.62 ,368291,11.03 ,2909301,2540968,14.50 ,23.8,12,98.33 
1232,大統益,1365156,1282322,6.46 ,1239291,10.16 ,9864505,9473057,4.13 ,39.55,35.9,10.17 
1233,天仁,151723,157672,-3.77 ,139432,8.82 ,1233612,1147864,7.47 ,52,31.6,64.56 
1234,黑松,561556,498791,12.58 ,564099,-0.45 ,3077394,2828478,8.80 ,22.7,16.8,35.12 
1235,興泰,39786,31002,28.33 ,32447,22.62 ,262565,256048,2.55 ,67.8,34.7,95.39 
1236,宏亞食品,131894,154515,-14.64 ,155101,-14.96 ,1233840,1036441,19.05 ,22.6,15.8,43.04 
1301,台塑,17978721,16086655,11.76 ,14174165,26.84 ,130642993,100110800,30.50 ,71,59.2,19.93 
1303,南亞塑膠,18862607,18110977,4.15 ,15704707,20.11 ,143798359,101029342,42.33 ,61.8,45.85,34.79 
1304,台聚,1024649,1036904,-1.18 ,963323,6.37 ,8117252,6796433,19.43 ,19.95,14.6,36.64 
1305,華夏,744004,698674,6.49 ,684275,8.73 ,5635572,4908849,14.80 ,10.9,10.85,0.46 
1307,三芳化工,545161,389403,40.00 ,397301,37.22 ,3802847,3030131,25.50 ,35.9,26.95,33.21 
1308,亞聚,552406,505369,9.31 ,482067,14.59 ,4212398,3174107,32.71 ,27.35,22.85,19.69 
1309,台達化工,1006348,868301,15.90 ,823050,22.27 ,7187918,5037843,42.68 ,11.15,10.7,4.21 
1310,台苯,1077774,1012755,6.42 ,1066748,1.03 ,8574795,7531573,13.85 ,13.2,12.6,4.76 
1312,國喬石化,1380548,1411699,-2.21 ,1222589,12.92 ,11003609,7894033,39.39 ,14.25,13.15,8.37 
1313,聯成,870221,793856,9.62 ,512291,69.87 ,5775319,3530363,63.59 ,18.85,13.95,35.13 
1314,中石化,3627550,3148659,15.21 ,2715713,33.58 ,25796637,15293465,68.68 ,18.9,9.54,98.11 
1315,達新工業,258999,250526,3.38 ,191022,35.59 ,1547092,1492295,3.67 ,22.15,20.6,7.52 
1316,上曜,11699,12454,-6.06 ,12285,-4.77 ,124557,143071,-12.94 ,10.8,6.65,62.41 
1319,東陽,785622,830904,-5.45 ,652353,20.43 ,6254959,5307687,17.85 ,50.5,43.45,16.23 
1321,大洋,529187,469081,12.81 ,457922,15.56 ,3635843,3102594,17.19 ,22.4,21.4,4.67 
1323,永裕,149302,134566,10.95 ,118382,26.12 ,1042772,822083,26.85 ,20.9,11.5,81.74 
1324,地球工業,131802,112263,17.40 ,131737,0.05 ,901293,791698,13.84 ,23.55,11.9,97.90 
1325,恒大,74984,79219,-5.35 ,83026,-9.69 ,696952,580774,20.00 ,25.25,32.2,-21.58 
1326,台化,22472957,22345397,0.57 ,20283581,10.79 ,187547750,141933785,32.14 ,71.2,57.7,23.40 
