公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
,,100,100,與上月比較增減%,99,與去年同月比較增減%,100,99,與去年同期比較增減%,100.11 ,99.11 ,與去年同期比較增減%
1101,台泥,2001210,2066932,-3.18 ,1878685,6.52 ,21978153,19926019,10.30 ,32.55 ,31.35 ,3.83 
1102,亞泥,952056,932265,2.12 ,1210075,-21.32 ,9862023,8706071,13.28 ,32.35 ,30.20 ,7.12 
1103,嘉泥,73876,51646,43.04 ,176504,-58.14 ,793338,1800050,-55.93 ,12.80 ,15.80 ,-18.99 
1104,環球水泥,260888,284510,-8.30 ,274073,-4.81 ,3019644,2821926,7.01 ,13.80 ,18.00 ,-23.33 
1108,幸福水泥,247552,271197,-8.72 ,246254,0.53 ,2922009,2504646,16.66 ,5.50 ,7.61 ,-27.73 
1109,信大水泥,139134,130387,6.71 ,110327,26.11 ,1377850,1121097,22.90 ,10.35 ,9.98 ,3.71 
1110,東泥,130836,113734,15.04 ,137734,-5.01 ,1268543,1298294,-2.29 ,9.78 ,12.35 ,-20.81 
1201,味全公司,1140226,1161975,-1.87 ,1061007,7.47 ,12706329,12162206,4.47 ,31.05 ,34.00 ,-8.68 
1203,味王公司,142957,139359,2.58 ,162877,-12.23 ,1782584,1752681,1.71 ,19.70 ,23.65 ,-16.70 
1210,大成長城,1974857,2044951,-3.43 ,1862010,6.06 ,21077900,19073316,10.51 ,28.00 ,31.20 ,-10.26 
1213,大飲,46812,45935,1.91 ,42353,10.53 ,650092,625732,3.89 ,17.80 ,26.80 ,-33.58 
1215,卜蜂企業,1323675,1327027,-0.25 ,1267199,4.46 ,13661612,12788662,6.83 ,13.10 ,18.90 ,-30.69 
1216,統一,4032392,4307619,-6.39 ,3922178,2.81 ,48238193,44919359,7.39 ,41.20 ,42.15 ,-2.25 
1217,愛之味,201158,233256,-13.76 ,201061,0.05 ,2975669,3441304,-13.53 ,8.85 ,14.30 ,-38.11 
1218,泰山企業,648485,613549,5.69 ,638696,1.53 ,7075418,6661499,6.21 ,14.00 ,18.20 ,-23.08 
1219,福壽實業,905288,943133,-4.01 ,843109,7.37 ,9296825,8213339,13.19 ,16.25 ,14.25 ,14.04 
1220,台榮,260807,280299,-6.95 ,240101,8.62 ,2881384,2776783,3.77 ,9.77 ,12.95 ,-24.56 
1225,福懋油,985718,855086,15.28 ,852832,15.58 ,8935852,7630083,17.11 ,11.75 ,14.85 ,-20.88 
1227,佳格,1097925,1016164,8.05 ,1022898,7.33 ,11221064,10326028,8.67 ,103.00 ,77.10 ,33.59 
1229,聯華實業,381328,355305,7.32 ,335286,13.73 ,3718073,2922177,27.24 ,17.30 ,23.05 ,-24.95 
1231,聯華食品,404837,387060,4.59 ,327549,23.60 ,4697255,3937077,19.31 ,35.60 ,27.65 ,28.75 
1232,大統益,1425364,1289157,10.57 ,1461876,-2.50 ,15242029,14107748,8.04 ,47.40 ,50.30 ,-5.77 
1233,天仁,166763,142844,16.74 ,161328,3.37 ,1850837,1712137,8.10 ,41.90 ,50.20 ,-16.53 
1234,黑松,391725,419222,-6.56 ,355513,10.19 ,5042107,4012866,25.65 ,27.05 ,26.20 ,3.24 
1235,興泰,31165,33322,-6.47 ,30131,3.43 ,319653,368391,-13.23 ,22.55 ,39.90 ,-43.48 
1236,宏亞食品,243416,223247,9.03 ,190877,27.53 ,2156395,1828253,17.95 ,22.45 ,23.30 ,-3.65 
1301,台塑,14235136,12619139,12.81 ,16540521,-13.94 ,173691145,177929154,-2.38 ,79.40 ,90.70 ,-12.46 
1303,南亞塑膠,14009171,13669704,2.48 ,17071888,-17.94 ,177504768,194304930,-8.65 ,55.20 ,67.90 ,-18.70 
1304,台聚,927823,971149,-4.46 ,1195914,-22.42 ,12216381,11307376,8.04 ,25.20 ,27.30 ,-7.69 
1305,華夏,736249,602964,22.10 ,713051,3.25 ,8498558,7822438,8.64 ,8.60 ,11.30 ,-23.89 
1307,三芳化工,582281,640857,-9.14 ,593587,-1.90 ,6490650,5527590,17.42 ,21.55 ,34.00 ,-36.62 
1308,亞聚,369754,352794,4.81 ,504436,-26.70 ,5840656,5751163,1.56 ,29.70 ,36.30 ,-18.18 
1309,台達化工,822994,861699,-4.49 ,1000098,-17.71 ,10001450,10129831,-1.27 ,11.05 ,12.40 ,-10.89 
1310,台苯,1254281,1269379,-1.19 ,1144044,9.64 ,11602031,12032540,-3.58 ,6.56 ,13.55 ,-51.59 
1312,國喬石化,1491697,1522605,-2.03 ,1481920,0.66 ,17848019,15332404,16.41 ,12.20 ,17.30 ,-29.48 
1313,聯成,555224,511726,8.50 ,633733,-12.39 ,6621996,7873989,-15.90 ,14.90 ,22.15 ,-32.73 
1314,中石化,2381393,3174941,-24.99 ,3227102,-26.21 ,39309500,35899027,9.50 ,26.00 ,30.40 ,-14.47 
1315,達新工業,190175,164641,15.51 ,176476,7.76 ,2254091,2145877,5.04 ,26.70 ,24.45 ,9.20 
1316,上曜,19753,17613,12.15 ,20849,-5.26 ,180125,179612,0.29 ,16.70 ,12.25 ,36.33 
1319,東陽,1193333,1115655,6.96 ,1078090,10.69 ,11746713,9473188,24.00 ,30.25 ,43.80 ,-30.94 
1321,大洋,435318,315030,38.18 ,391275,11.26 ,4692644,4949706,-5.19 ,18.75 ,24.05 ,-22.04 
1323,永裕,154359,144656,6.71 ,157556,-2.03 ,1523041,1488470,2.32 ,18.80 ,27.30 ,-31.14 
1324,地球工業,125379,117858,6.38 ,129898,-3.48 ,1452915,1277890,13.70 ,11.05 ,18.75 ,-41.07 
1325,恒大,78311,83418,-6.12 ,111040,-29.47 ,948760,1015332,-6.56 ,17.90 ,25.20 ,-28.97 
1326,台化,19105037,20821488,-8.24 ,24199455,-21.05 ,259860722,256683709,1.24 ,77.40 ,90.30 ,-14.29 
1402,遠東新,5047572,5007876,0.79 ,5021744,0.51 ,56567681,48811823,15.89 ,33.05 ,45.05 ,-26.64 
1409,新纖,1847513,2090870,-11.64 ,2181066,-15.29 ,24435470,23237861,5.15 ,8.02 ,15.35 ,-47.75 
1410,南染,30141,27972,7.75 ,31696,-4.91 ,338118,295857,14.28 ,15.10 ,20.85 ,-27.58 
1413,宏洲化工,334220,294338,13.55 ,334220,0.00 ,4013834,3867717,3.78 ,4.35 ,9.90 ,-56.06 
1414,東和,113131,101699,11.24 ,157690,-28.26 ,1187459,2885838,-58.85 ,11.85 ,13.00 ,-8.85 
1416,廣豐,17751,35517,-50.02 ,23143,-23.30 ,171553,227753,-24.68 ,8.62 ,14.40 ,-40.14 
1417,嘉裕,165600,128187,29.19 ,122309,35.39 ,1202398,1103684,8.94 ,8.90 ,11.00 ,-19.09 
1418,東華,153697,283737,-45.83 ,383328,-59.90 ,2709259,3052933,-11.26 ,7.44 ,9.73 ,-23.54 
1419,新紡,100049,124526,-19.66 ,103016,-2.88 ,857543,690771,24.14 ,31.75 ,48.25 ,-34.20 
1423,利華羊毛,111924,85646,30.68 ,109942,1.80 ,1301801,982608,32.48 ,7.10 ,8.40 ,-15.48 
1432,大魯閣,1472,461,219.31 ,457,222.10 ,12691,854851,-98.52 ,7.98 ,14.40 ,-44.58 
1434,福懋興業,2808188,2907761,-3.42 ,2679013,4.82 ,33275894,29758946,11.82 ,26.85 ,26.10 ,2.87 
1435,中福,1938,1968,-1.52 ,2659,-27.12 ,22262,33119,-32.78 ,3.31 ,7.70 ,-57.01 
1436,福益,826,842,-1.90 ,775,6.58 ,8582,11618,-26.13 ,11.30 ,9.21 ,22.69 
1437,勤益,63429,69027,-8.11 ,120934,-47.55 ,1130373,1614334,-29.98 ,12.10 ,24.15 ,-49.90 
1438,裕豐,213,2061,-89.67 ,48795,-99.56 ,43925,139082,-68.42 ,1.77 ,3.09 ,-42.72 
1439,中和羊毛,79824,69071,15.57 ,37519,112.76 ,637745,461062,38.32 ,19.00 ,40.10 ,-52.62 
1440,南紡,1315410,1209213,8.78 ,1480987,-11.18 ,15776760,13925503,13.29 ,9.90 ,22.00 ,-55.00 
1441,大東紡織,129831,129917,-0.07 ,142544,-8.92 ,1643276,1449542,13.37 ,9.93 ,8.99 ,10.46 
1442,名軒,205927,283049,-27.25 ,92036,123.75 ,2018114,1226996,64.48 ,22.50 ,21.75 ,3.45 
1443,立益紡織,73351,47056,55.88 ,135303,-45.79 ,850421,1381488,-38.44 ,5.47 ,3.79 ,44.33 
1444,力麗,842013,921170,-8.59 ,920413,-8.52 ,12159714,8994620,35.19 ,9.60 ,15.80 ,-39.24 
1445,大宇紡織,155116,191541,-19.02 ,188967,-17.91 ,2123912,1963238,8.18 ,7.40 ,9.27 ,-20.17 
1446,宏和,19557,27435,-28.72 ,59748,-67.27 ,510896,859928,-40.59 ,12.80 ,18.65 ,-31.37 
1447,力鵬,1867862,961328,94.30 ,2340295,-20.19 ,23162073,22012286,5.22 ,7.75 ,15.00 ,-48.33 
1449,佳和實業,188722,155317,21.51 ,149735,26.04 ,1947293,1824308,6.74 ,2.46 ,3.95 ,-37.72 
1451,年興紡織,1058387,857665,23.40 ,891153,18.77 ,10220070,9074111,12.63 ,19.90 ,23.10 ,-13.85 
1452,宏益,170706,171180,-0.28 ,205352,-16.87 ,2097758,1931417,8.61 ,8.90 ,15.70 ,-43.31 
1453,大將,8371,12983,-35.52 ,48753,-82.83 ,210908,417624,-49.50 ,8.50 ,12.80 ,-33.59 
1454,台富,178994,211499,-15.37 ,236718,-24.39 ,2461924,2302764,6.91 ,7.73 ,8.92 ,-13.34 
1455,集盛,1328223,1318924,0.71 ,1601597,-17.07 ,17432691,15663564,11.29 ,11.60 ,15.00 ,-22.67 
1456,怡華,171523,157523,8.89 ,192049,-10.69 ,1945579,1896000,2.61 ,1.79 ,2.86 ,-37.41 
1457,宜進,398858,455307,-12.40 ,506866,-21.31 ,5592882,3931276,42.27 ,6.72 ,11.80 ,-43.05 
1459,聯發紡織,240830,219685,9.63 ,331676,-27.39 ,2607936,3005911,-13.24 ,9.41 ,14.85 ,-36.63 
1460,宏遠,637559,675922,-5.68 ,489025,30.37 ,5767826,4344485,32.76 ,5.91 ,7.08 ,-16.53 
1463,強盛染整,33500,47822,-29.95 ,49561,-32.41 ,508293,533999,-4.81 ,8.52 ,11.20 ,-23.93 
1464,得力實業,184828,214658,-13.90 ,164646,12.26 ,1807151,1604553,12.63 ,8.46 ,12.75 ,-33.65 
1465,偉全實業,117783,145779,-19.20 ,106518,10.58 ,1768067,1333281,32.61 ,12.80 ,17.30 ,-26.01 
